group,traj,frame,particle,label
2,6,100,68,1
1,9,100,2,1
1,6,100,582,1
1,4,100,449,1
2,1,100,354,1
2,5,100,738,1
1,1,100,600,1
1,9,100,709,1
2,6,100,210,1
2,3,100,109,1
1,0,100,232,1
1,8,100,159,1
1,8,100,44,1
1,9,100,747,1
2,5,100,75,1
1,5,100,613,1
1,9,100,261,1
1,7,100,455,1
2,2,100,21,1
2,4,100,813,1
1,8,100,248,1
1,9,100,385,1
1,8,100,505,1
2,5,100,665,1
2,6,100,71,1
1,0,100,829,1
1,7,100,789,1
2,6,100,341,1
2,1,100,545,1
2,6,100,212,1
2,7,100,124,1
2,3,100,535,1
2,7,100,554,1
2,8,100,642,1
1,9,100,273,1
2,8,100,556,1
2,9,100,593,1
1,8,100,51,1
1,9,100,529,1
1,7,100,486,1
2,7,100,9,1
1,5,100,478,1
1,7,100,68,1
2,2,100,625,1
2,6,100,180,1
1,5,100,640,1
2,7,100,474,1
1,7,100,181,1
2,9,100,659,1
1,4,100,21,1
2,5,100,233,1
2,9,100,296,1
2,5,100,517,1
1,8,100,738,1
1,5,100,605,1
1,9,100,750,1
2,4,100,622,1
1,8,100,566,1
1,1,100,601,1
2,1,100,840,1
1,9,100,120,1
1,2,100,531,1
1,3,100,785,1
2,5,100,531,1
1,5,100,831,1
2,8,100,718,1
1,5,100,772,1
1,6,100,154,1
1,0,100,163,1
1,5,100,641,1
2,5,100,334,1
2,6,100,16,1
2,7,100,52,1
1,6,100,460,1
1,3,100,710,1
1,9,100,431,1
2,6,100,319,1
1,6,100,346,1
2,5,100,645,1
1,6,100,344,1
2,1,100,482,1
2,4,100,656,1
2,7,100,431,1
2,7,100,656,1
1,9,100,24,1
2,7,100,480,1
2,1,100,678,1
2,1,100,715,1
2,8,100,416,1
1,8,100,509,1
2,2,100,1,1
1,7,100,588,1
1,0,100,464,1
1,5,100,156,1
1,6,100,321,1
1,6,100,618,1
1,8,100,56,1
1,6,100,412,1
2,3,100,213,1
2,8,100,489,1
2,7,100,716,1
2,4,100,542,1
2,9,100,645,1
1,6,100,615,1
2,8,100,713,1
2,1,100,98,1
2,7,100,181,1
1,4,100,550,1
2,9,100,372,1
1,5,100,135,1
2,7,100,627,1
2,1,100,622,1
2,2,100,381,1
2,5,100,527,1
2,9,100,301,1
2,5,100,23,1
1,8,100,751,1
2,3,100,829,1
1,8,100,583,1
1,8,100,863,1
2,4,100,228,1
1,9,100,556,1
1,6,100,482,1
2,5,100,854,1
1,6,100,32,1
1,7,100,605,1
1,5,100,800,1
1,3,100,79,1
1,8,100,598,1
1,9,100,107,1
1,6,100,70,1
1,6,100,640,1
1,7,100,173,1
2,7,100,589,1
2,8,100,261,1
1,5,100,789,1
2,6,100,636,1
2,7,100,255,1
1,6,100,152,1
2,4,100,520,1
1,5,100,517,1
2,8,100,383,1
1,7,100,189,1
2,8,100,309,1
2,6,100,494,1
2,8,100,671,1
2,2,100,408,1
1,9,100,521,1
2,4,100,290,1
2,8,100,133,1
2,3,100,513,1
1,5,100,367,1
1,5,100,287,1
2,5,100,779,1
1,3,100,238,1
2,7,100,396,1
1,8,100,753,1
1,6,100,851,1
2,4,100,237,1
2,7,100,502,1
1,8,100,503,1
2,2,100,500,1
2,6,100,255,1
1,9,100,454,1
1,7,100,715,1
1,6,100,26,1
2,3,100,820,1
1,7,100,523,1
1,9,100,25,1
2,5,100,110,1
2,4,100,653,1
1,8,100,233,1
2,8,100,523,1
1,7,100,260,1
2,7,100,408,1
1,5,100,781,1
2,9,100,720,1
2,4,100,854,1
1,5,100,388,1
2,6,100,373,1
2,7,100,853,1
1,4,100,606,1
2,7,100,101,1
1,7,100,72,1
2,5,100,304,1
1,6,100,837,1
2,9,100,611,1
1,8,100,404,1
1,7,100,521,1
2,9,100,276,1
2,8,100,520,1
1,5,100,408,1
1,4,100,657,1
2,6,100,787,1
1,9,100,39,1
2,5,100,378,1
1,7,100,552,1
2,4,100,264,1
1,6,100,521,1
1,7,100,332,1
1,7,100,247,1
2,8,100,113,1
2,2,100,534,1
2,5,100,813,1
1,8,100,854,1
1,1,100,442,1
2,8,100,534,1
2,4,100,724,1
1,7,100,600,1
1,7,100,532,1
2,1,100,486,1
1,7,100,250,1
2,4,100,722,1
1,5,100,836,1
2,2,100,860,1
2,9,100,392,1
2,4,100,576,1
2,9,100,670,1
1,7,100,389,1
1,4,100,574,1
1,8,100,569,1
2,7,100,94,1
2,7,100,825,1
2,8,100,702,1
2,5,100,106,1
2,2,100,65,1
2,4,100,531,1
1,5,100,692,1
1,5,100,344,1
1,5,100,158,1
1,5,100,706,1
2,6,100,371,1
2,5,100,363,1
2,4,100,262,1
2,5,100,436,1
1,5,100,14,1
1,6,100,219,1
1,6,100,830,1
1,8,100,75,1
2,9,100,843,1
1,3,100,643,1
2,8,100,434,1
2,2,100,472,1
1,7,100,495,1
1,7,100,120,1
2,5,100,266,1
1,1,100,418,1
2,6,100,367,1
1,9,100,223,1
1,2,100,666,1
1,7,100,5,1
1,4,100,395,1
2,5,100,2,1
1,9,100,412,1
2,7,100,164,1
1,9,100,324,1
1,9,100,167,1
2,4,100,689,1
2,2,100,293,1
2,5,100,0,1
2,9,100,270,1
2,3,100,739,1
1,5,100,414,1
2,7,100,594,1
2,3,100,59,1
2,5,100,547,1
2,9,100,291,1
1,9,100,366,1
1,9,100,475,1
2,6,100,631,1
1,7,100,860,1
1,5,100,169,1
2,8,100,762,1
1,7,100,518,1
2,4,100,582,1
2,4,100,263,1
1,6,100,311,1
1,4,100,14,1
2,1,100,843,1
2,0,100,803,1
1,9,100,400,1
1,1,100,829,1
1,9,100,338,1
2,9,100,292,1
2,2,100,547,1
2,8,100,84,1
1,5,100,70,1
1,5,100,620,1
2,0,100,527,1
2,6,100,208,1
2,7,100,661,1
2,8,100,517,1
2,3,100,63,1
2,3,100,533,1
1,9,100,154,1
2,8,100,840,1
2,8,100,135,1
2,6,100,660,1
2,9,100,426,1
1,8,100,440,1
2,7,100,473,1
1,4,100,121,1
2,2,100,91,1
1,4,100,421,1
2,5,100,308,1
1,8,100,85,1
1,9,100,152,1
1,8,100,773,1
2,4,100,557,1
2,8,100,348,1
2,9,100,54,1
2,5,100,151,1
2,4,100,424,1
2,8,100,412,1
1,8,100,643,1
1,6,100,6,1
1,9,100,480,1
2,9,100,531,1
2,4,100,681,1
1,5,100,683,1
2,4,100,849,1
1,7,100,815,1
1,7,100,445,1
1,4,100,343,1
1,4,100,457,1
2,6,100,671,1
1,9,100,51,1
2,4,100,752,1
1,5,100,483,1
2,5,100,482,1
1,3,100,483,1
2,5,100,862,1
2,1,100,667,1
2,7,100,122,1
1,6,100,155,1
2,8,100,246,1
2,9,100,607,1
2,1,100,856,1
1,4,100,111,1
2,6,100,544,1
1,4,100,715,1
2,5,100,148,1
1,8,100,808,1
2,2,100,863,1
2,8,100,573,1
2,9,100,61,1
2,4,100,45,1
1,3,100,828,1
2,8,100,419,1
2,4,100,383,1
1,4,100,647,1
2,6,100,733,1
1,9,100,558,1
2,2,100,691,1
2,5,100,611,1
1,7,100,640,1
1,5,100,7,1
2,5,100,845,1
2,8,100,609,1
2,9,100,794,1
2,4,100,332,1
2,6,100,711,1
1,6,100,357,1
1,3,100,590,1
2,4,100,209,1
2,6,100,471,1
1,5,100,217,1
2,6,100,792,1
2,9,100,19,1
2,5,100,631,1
1,9,100,576,1
2,6,100,705,1
1,4,100,396,1
1,8,100,99,1
2,9,100,308,1
2,6,100,612,1
2,9,100,368,1
1,8,100,345,1
1,8,100,60,1
1,9,100,29,1
2,8,100,524,1
2,3,100,644,1
1,7,100,372,1
2,7,100,839,1
2,0,100,129,1
1,8,100,14,1
2,1,100,661,1
2,8,100,49,1
2,5,100,759,1
2,5,100,27,1
2,0,100,117,1
1,5,100,842,1
1,4,100,116,1
1,9,100,646,1
1,5,100,691,1
2,4,100,743,1
2,8,100,514,1
1,9,100,802,1
2,8,100,188,1
1,9,100,661,1
2,2,100,613,1
1,6,100,290,1
2,7,100,680,1
2,7,100,456,1
2,9,100,707,1
2,6,100,644,1
2,4,100,411,1
2,6,100,439,1
2,7,100,309,1
2,6,100,307,1
1,5,100,694,1
2,4,100,393,1
1,7,100,574,1
2,3,100,394,1
1,5,100,424,1
1,4,100,193,1
2,5,100,407,1
2,6,100,569,1
1,3,100,128,1
2,6,100,757,1
1,6,100,515,1
2,8,100,251,1
1,4,100,403,1
2,7,100,227,1
2,8,100,645,1
2,7,100,807,1
1,3,100,488,1
1,9,100,752,1
1,7,100,431,1
1,8,100,830,1
1,8,100,741,1
2,6,100,190,1
1,6,100,589,1
2,9,100,738,1
1,8,100,83,1
2,4,100,33,1
1,2,100,47,1
2,4,100,285,1
2,7,100,244,1
2,6,100,269,1
2,6,100,668,1
1,6,100,421,1
2,9,100,144,1
1,7,100,522,1
1,7,100,296,1
2,9,100,450,1
2,3,100,391,1
1,7,100,100,1
1,8,100,478,1
1,8,100,130,1
1,6,100,712,1
2,8,100,177,1
1,4,100,756,1
1,6,100,628,1
2,8,100,355,1
2,5,100,283,1
1,9,100,856,1
2,4,100,836,1
2,8,100,656,1
1,6,100,845,1
2,8,100,475,1
1,6,100,126,1
1,6,100,549,1
2,7,100,535,1
2,8,100,566,1
1,4,100,612,1
2,8,100,173,1
1,8,100,822,1
1,5,100,748,1
2,2,100,379,1
2,7,100,799,1
2,6,100,328,1
2,9,100,557,1
2,6,100,205,1
1,7,100,718,1
1,8,100,370,1
1,6,100,179,1
2,8,100,192,1
2,2,100,42,1
1,7,100,114,1
2,3,100,679,1
1,9,100,80,1
2,6,100,594,1
2,8,100,839,1
1,8,100,250,1
2,3,100,611,1
1,6,100,594,1
1,2,100,240,1
2,4,100,796,1
1,7,100,366,1
2,8,100,255,1
1,8,100,489,1
1,7,100,206,1
2,9,100,151,1
2,8,100,217,1
1,3,100,380,1
1,8,100,174,1
2,1,100,408,1
1,8,100,504,1
1,6,100,721,1
1,4,100,170,1
1,6,100,173,1
2,7,100,270,1
2,6,100,804,1
2,5,100,836,1
1,7,100,16,1
2,5,100,292,1
1,7,100,566,1
2,2,100,677,1
1,7,100,355,1
1,6,100,783,1
1,7,100,255,1
2,4,100,398,1
1,7,100,573,1
2,5,100,502,1
2,8,100,701,1
1,6,100,267,1
1,5,100,645,1
2,8,100,406,1
2,8,100,290,1
2,5,100,811,1
1,7,100,800,1
2,6,100,824,1
1,9,100,482,1
2,9,100,118,1
1,9,100,552,1
1,5,100,491,1
1,5,100,792,1
2,9,100,781,1
2,5,100,202,1
2,9,100,817,1
2,9,100,674,1
1,3,100,366,1
2,7,100,819,1
2,9,100,64,1
1,8,100,29,1
1,6,100,502,1
2,7,100,169,1
2,4,100,379,1
2,0,100,18,1
2,6,100,646,1
2,6,100,534,1
2,5,100,455,1
1,9,100,489,1
1,7,100,90,1
2,2,100,271,1
1,9,100,733,1
2,7,100,450,1
1,6,100,350,1
1,8,100,158,1
1,0,100,47,1
2,0,100,560,1
2,4,100,309,1
1,0,100,648,1
1,6,100,623,1
2,9,100,813,1
1,6,100,741,1
1,9,100,768,1
1,0,100,444,1
2,9,100,814,1
2,7,100,564,1
1,5,100,465,1
1,6,100,225,1
1,6,100,831,1
2,8,100,728,1
2,5,100,298,1
2,9,100,364,1
2,5,100,724,1
1,9,100,48,1
2,7,100,174,1
1,1,100,570,1
1,7,100,398,1
1,7,100,447,1
2,8,100,670,1
2,9,100,740,1
1,6,100,855,1
1,8,100,486,1
2,4,100,268,1
1,4,100,740,1
1,8,100,472,1
2,6,100,145,1
2,2,100,522,1
2,7,100,513,1
1,8,100,537,1
2,4,100,202,1
1,9,100,233,1
2,6,100,46,1
1,8,100,232,1
2,2,100,463,1
1,7,100,163,1
1,8,100,320,1
1,8,100,71,1
1,5,100,651,1
2,2,100,774,1
2,1,100,547,1
1,6,100,744,1
1,6,100,727,1
2,5,100,36,1
2,7,100,60,1
1,4,100,340,1
2,6,100,596,1
2,6,100,728,1
2,8,100,746,1
2,3,100,846,1
1,6,100,467,1
2,3,100,43,1
2,3,100,512,1
2,6,100,15,1
1,9,100,757,1
2,5,100,98,1
2,9,100,228,1
2,9,100,233,1
1,4,100,114,1
1,9,100,5,1
1,7,100,228,1
2,6,100,176,1
2,1,100,636,1
2,6,100,318,1
1,9,100,68,1
2,8,100,214,1
2,8,100,794,1
2,4,100,159,1
2,7,100,652,1
2,3,100,308,1
2,6,100,218,1
1,8,100,374,1
2,6,100,134,1
1,6,100,862,1
2,8,100,87,1
1,5,100,848,1
1,7,100,167,1
1,5,100,77,1
2,9,100,850,1
1,3,100,433,1
1,4,100,7,1
1,7,100,589,1
1,6,100,81,1
1,6,100,730,1
2,6,100,304,1
2,5,100,72,1
2,8,100,275,1
2,4,100,572,1
1,9,100,855,1
1,8,100,204,1
2,8,100,69,1
1,7,100,195,1
2,4,100,270,1
2,7,100,788,1
2,4,100,198,1
1,8,100,786,1
1,9,100,525,1
2,6,100,667,1
2,7,100,827,1
1,4,100,553,1
2,7,100,809,1
2,2,100,264,1
1,5,100,146,1
1,6,100,459,1
2,8,100,310,1
1,2,100,721,1
2,0,100,805,1
1,7,100,139,1
2,6,100,147,1
2,3,100,203,1
2,1,100,499,1
1,7,100,660,1
2,5,100,464,1
2,8,100,306,1
1,6,100,774,1
1,5,100,644,1
2,9,100,624,1
1,9,100,862,1
1,8,100,128,1
2,8,100,590,1
2,5,100,220,1
1,6,100,177,1
2,6,100,74,1
2,4,100,299,1
1,9,100,545,1
2,3,100,232,1
1,6,100,161,1
1,2,100,616,1
2,8,100,304,1
1,4,100,153,1
2,7,100,453,1
2,7,100,588,1
2,7,100,304,1
2,9,100,6,1
2,8,100,66,1
1,4,100,356,1
2,1,100,719,1
1,3,100,86,1
2,2,100,590,1
2,9,100,113,1
1,7,100,8,1
2,8,100,497,1
2,4,100,560,1
2,1,100,475,1
1,4,100,331,1
1,9,100,763,1
1,4,100,250,1
1,3,100,675,1
2,6,100,290,1
1,2,100,472,1
2,2,100,53,1
1,5,100,221,1
1,6,100,636,1
1,7,100,261,1
2,4,100,366,1
2,6,100,507,1
1,4,100,695,1
2,4,100,516,1
1,9,100,492,1
1,7,100,826,1
2,5,100,835,1
2,7,100,340,1
2,5,100,430,1
1,2,100,217,1
1,7,100,862,1
2,8,100,367,1
2,3,100,311,1
1,7,100,314,1
1,8,100,76,1
2,3,100,6,1
1,3,100,60,1
2,9,100,840,1
2,6,100,579,1
1,8,100,132,1
2,3,100,334,1
2,2,100,716,1
1,5,100,248,1
2,5,100,742,1
2,5,100,787,1
2,7,100,376,1
1,4,100,580,1
2,1,100,523,1
2,1,100,476,1
2,1,100,672,1
1,9,100,504,1
2,7,100,439,1
2,5,100,458,1
2,7,100,424,1
1,9,100,369,1
1,6,100,796,1
1,8,100,724,1
2,6,100,393,1
2,8,100,245,1
1,7,100,385,1
2,8,100,25,1
1,4,100,532,1
2,8,100,814,1
1,6,100,541,1
1,6,100,643,1
2,6,100,841,1
1,7,100,411,1
2,6,100,351,1
2,6,100,836,1
2,5,100,573,1
2,7,100,629,1
1,8,100,845,1
2,6,100,606,1
2,6,100,844,1
1,6,100,303,1
2,8,100,487,1
1,9,100,670,1
2,4,100,706,1
2,9,100,683,1
2,6,100,545,1
2,5,100,732,1
2,5,100,38,1
2,8,100,147,1
1,5,100,58,1
2,4,100,353,1
2,5,100,511,1
2,8,100,637,1
2,7,100,721,1
1,3,100,100,1
1,7,100,634,1
2,5,100,855,1
1,8,100,728,1
1,5,100,642,1
1,0,100,451,1
2,8,100,531,1
1,9,100,815,1
2,6,100,863,1
1,5,100,699,1
1,4,100,642,1
2,4,100,719,1
2,5,100,748,1
1,7,100,674,1
1,8,100,574,1
2,6,100,510,1
2,8,100,64,1
1,8,100,149,1
2,4,100,553,1
2,8,100,502,1
2,4,100,502,1
1,0,100,469,1
1,0,100,21,1
1,8,100,366,1
1,5,100,2,1
2,5,100,685,1
2,9,100,190,1
2,5,100,769,1
1,7,100,198,1
2,2,100,310,1
2,3,100,782,1
1,6,100,435,1
1,8,100,637,1
1,8,100,803,1
2,5,100,70,1
1,4,100,221,1
1,7,100,688,1
1,8,100,546,1
1,4,100,143,1
1,4,100,372,1
1,5,100,181,1
2,4,100,799,1
1,8,100,527,1
1,4,100,210,1
1,1,100,403,1
1,7,100,205,1
2,5,100,179,1
1,3,100,473,1
2,6,100,643,1
2,2,100,530,1
1,4,100,144,1
1,9,100,698,1
1,7,100,146,1
1,9,100,660,1
2,9,100,837,1
2,8,100,364,1
2,8,100,300,1
2,1,100,389,1
2,9,100,667,1
2,6,100,799,1
1,6,100,591,1
2,5,100,701,1
1,8,100,806,1
2,4,100,602,1
1,5,100,380,1
1,5,100,239,1
1,6,100,561,1
2,6,100,527,1
1,8,100,134,1
2,4,100,300,1
2,9,100,409,1
1,2,100,246,1
1,6,100,694,1
1,8,100,677,1
1,7,100,578,1
1,6,100,232,1
2,7,100,82,1
1,5,100,17,1
1,8,100,460,1
2,7,100,217,1
2,2,100,549,1
1,5,100,822,1
1,1,100,753,1
2,8,100,438,1
2,0,100,389,1
1,5,100,504,1
1,9,100,63,1
2,3,100,314,1
2,4,100,269,1
1,0,100,351,1
2,4,100,621,1
2,9,100,33,1
2,6,100,385,1
2,1,100,57,1
2,6,100,791,1
2,9,100,847,1
2,3,100,792,1
1,6,100,102,1
2,9,100,0,1
2,8,100,777,1
2,7,100,591,1
2,1,100,536,1
1,9,100,538,1
2,4,100,91,1
2,5,100,228,1
1,6,100,409,1
2,8,100,21,1
1,8,100,165,1
2,1,100,632,1
2,7,100,78,1
2,7,100,62,1
1,5,100,755,1
2,9,100,828,1
2,3,100,536,1
2,8,100,206,1
2,7,100,848,1
2,5,100,680,1
2,7,100,862,1
1,8,100,225,1
1,5,100,564,1
1,7,100,647,1
2,8,100,649,1
1,8,100,58,1
2,5,100,140,1
2,8,100,730,1
1,8,100,200,1
1,5,100,471,1
1,6,100,697,1
2,2,100,678,1
2,4,100,533,1
1,6,100,378,1
2,8,100,672,1
1,3,100,211,1
2,5,100,146,1
2,5,100,559,1
2,9,100,80,1
1,9,100,377,1
2,8,100,425,1
1,6,100,567,1
2,8,100,540,1
1,6,100,133,1
2,7,100,256,1
1,6,100,616,1
1,4,100,689,1
2,3,100,760,1
1,9,100,487,1
2,5,100,806,1
2,0,100,55,1
1,8,100,756,1
2,6,100,789,1
1,6,100,41,1
1,8,100,199,1
1,3,100,512,1
1,7,100,740,1
2,2,100,157,1
2,6,100,605,1
2,8,100,819,1
1,6,100,610,1
2,6,100,337,1
2,6,100,855,1
1,1,100,605,1
2,6,100,339,1
2,3,100,438,1
2,6,100,650,1
2,9,100,604,1
2,7,100,248,1
1,4,100,271,1
1,5,100,771,1
1,9,100,574,1
2,9,100,199,1
2,9,100,2,1
2,4,100,0,1
2,9,100,244,1
1,5,100,52,1
1,8,100,649,1
2,8,100,379,1
1,3,100,707,1
1,3,100,521,1
2,8,100,331,1
1,3,100,57,1
2,8,100,374,1
1,6,100,336,1
2,3,100,659,1
2,6,100,637,1
2,5,100,621,1
1,5,100,763,1
2,4,100,806,1
2,6,100,47,1
1,8,100,663,1
1,2,100,654,1
2,1,100,79,1
1,4,100,705,1
2,6,100,298,1
2,9,100,787,1
2,4,100,828,1
2,4,100,194,1
2,9,100,808,1
1,5,100,384,1
2,8,100,801,1
2,7,100,603,1
1,4,100,517,1
1,8,100,346,1
2,3,100,121,1
2,8,100,807,1
1,7,100,442,1
1,5,100,354,1
1,3,100,119,1
1,2,100,186,1
1,8,100,154,1
2,6,100,240,1
2,8,100,244,1
2,5,100,814,1
2,3,100,285,1
2,9,100,156,1
1,3,100,288,1
2,6,100,430,1
2,6,100,369,1
1,9,100,450,1
2,6,100,429,1
1,4,100,712,1
1,8,100,296,1
2,5,100,745,1
2,4,100,862,1
2,6,100,669,1
2,4,100,399,1
1,8,100,272,1
1,6,100,308,1
2,7,100,836,1
2,8,100,529,1
1,6,100,475,1
2,2,100,788,1
2,7,100,596,1
1,3,100,692,1
2,2,100,782,1
1,6,100,68,1
1,3,100,349,1
1,8,100,588,1
1,9,100,177,1
1,3,100,223,1
2,8,100,591,1
1,5,100,675,1
1,6,100,578,1
1,9,100,648,1
1,8,100,98,1
2,4,100,701,1
2,2,100,818,1
1,5,100,515,1
2,4,100,295,1
1,6,100,93,1
1,9,100,13,1
2,7,100,343,1
1,5,100,315,1
1,8,100,571,1
2,8,100,184,1
1,7,100,237,1
1,7,100,386,1
2,2,100,202,1
2,8,100,689,1
2,5,100,660,1
2,0,100,8,1
2,0,100,703,1
1,2,100,620,1
2,4,100,769,1
1,5,100,329,1
1,4,100,709,1
2,0,100,399,1
1,9,100,456,1
2,9,100,84,1
1,8,100,530,1
2,9,100,202,1
2,8,100,824,1
1,3,100,807,1
1,8,100,38,1
2,6,100,548,1
1,5,100,302,1
1,6,100,785,1
2,6,100,680,1
2,8,100,166,1
1,7,100,149,1
1,7,100,14,1
1,1,100,292,1
1,7,100,702,1
2,7,100,763,1
1,8,100,719,1
1,8,100,633,1
2,4,100,583,1
2,6,100,601,1
1,6,100,530,1
2,1,100,115,1
1,1,100,270,1
1,8,100,66,1
1,4,100,291,1
1,1,100,74,1
2,5,100,52,1
2,8,100,185,1
1,9,100,113,1
2,5,100,215,1
1,7,100,420,1
1,9,100,484,1
1,6,100,805,1
1,6,100,9,1
2,8,100,683,1
1,8,100,480,1
1,8,100,568,1
2,9,100,569,1
1,9,100,833,1
1,7,100,425,1
2,4,100,188,1
2,5,100,109,1
1,4,100,422,1
1,2,100,608,1
2,4,100,737,1
2,5,100,863,1
1,5,100,449,1
2,8,100,400,1
1,9,100,253,1
1,8,100,215,1
1,3,100,818,1
1,5,100,716,1
2,1,100,527,1
2,4,100,238,1
1,8,100,291,1
1,5,100,485,1
2,0,100,735,1
2,5,100,335,1
2,9,100,369,1
2,8,100,521,1
1,8,100,636,1
2,2,100,611,1
1,6,100,104,1
1,8,100,34,1
2,5,100,470,1
1,6,100,212,1
2,2,100,197,1
2,1,100,123,1
1,8,100,388,1
2,9,100,38,1
1,6,100,761,1
1,5,100,55,1
2,6,100,246,1
1,0,100,210,1
2,2,100,848,1
1,9,100,671,1
1,2,100,644,1
2,6,100,370,1
1,3,100,517,1
